0,1,2
0,1,3
0,1,4
0,1,5
0,1,7
0,1,8
0,1,9
0,1,10
0,1,11
0,1,12
0,1,18
0,1,19
0,2,3
0,2,4
0,2,5
0,2,6
0,2,8
0,2,9
0,2,10
0,2,11
0,2,12
0,2,16
0,2,17
0,3,4
0,3,5
0,3,6
0,3,7
0,3,9
0,3,10
0,3,11
0,3,12
0,3,17
0,3,19
0,4,5
0,4,6
0,4,7
0,4,8
0,4,10
0,4,11
0,4,12
0,4,16
0,4,18
0,5,10
0,5,11
0,5,12
0,5,16
0,5,17
0,5,18
0,5,19
0,6,7
0,6,10
0,6,11
0,6,12
0,6,18
0,6,19
0,7,10
0,7,11
0,7,12
0,7,16
0,7,17
0,8,9
0,8,10
0,8,11
0,8,12
0,8,17
0,8,19
0,9,10
0,9,11
0,9,12
0,9,16
0,9,18
0,10,11
0,10,12
0,10,16
0,10,17
0,11,12
0,11,16
0,11,17
0,11,19
0,12,16
0,12,17
0,12,18
0,16,17
0,16,18
0,16,19
0,17,18
0,17,19
0,18,19
1,2,3
1,2,4
1,2,5
1,2,6
1,2,8
1,2,9
1,2,10
1,2,11
1,2,12
1,2,14
1,2,15
1,3,4
1,3,5
1,3,6
1,3,7
1,3,9
1,3,10
1,3,11
1,3,12
1,3,15
1,3,19
1,4,5
1,4,6
1,4,7
1,4,8
1,4,10
1,4,11
1,4,12
1,4,14
1,4,18
1,5,7
1,5,8
1,5,9
1,5,10
1,5,11
1,5,12
1,5,18
1,5,19
1,6,10
1,6,11
1,6,12
1,6,18
1,6,19
1,7,10
1,7,11
1,7,12
1,7,14
1,7,15
1,8,9
1,8,10
1,8,11
1,8,12
1,8,15
1,8,19
1,9,10
1,9,11
1,9,12
1,9,14
1,9,18
1,10,11
1,10,12
1,10,14
1,10,15
1,11,12
1,11,14
1,11,15
1,11,19
1,12,14
1,12,15
1,12,18
1,14,18
1,14,19
1,15,18
1,15,19
1,18,19
2,3,4
2,3,5
2,3,6
2,3,7
2,3,9
2,3,10
2,3,12
2,3,13
2,3,15
2,3,17
2,4,5
2,4,6
2,4,7
2,4,8
2,4,10
2,4,11
2,4,13
2,4,14
2,4,16
2,5,6
2,5,8
2,5,9
2,5,10
2,5,11
2,5,12
2,5,16
2,5,17
2,6,8
2,6,9
2,6,10
2,6,11
2,6,12
2,6,14
2,6,15
2,7,10
2,7,11
2,7,12
2,8,9
2,8,10
2,8,11
2,8,12
2,8,15
2,8,17
2,9,10
2,9,11
2,9,12
2,9,14
2,9,16
2,10,13
2,10,14
2,10,15
2,10,16
2,10,17
2,11,12
2,11,13
2,11,14
2,11,15
2,11,16
2,11,17
2,12,13
2,12,14
2,12,15
2,12,16
2,12,17
2,14,17
2,15,16
3,4,5
3,4,6
3,4,7
3,4,8
3,4,10
3,4,13
3,5,6
3,5,7
3,5,9
3,5,10
3,5,11
3,5,12
3,5,17
3,5,19
3,6,7
3,6,9
3,6,10
3,6,11
3,6,12
3,6,15
3,6,19
3,7,9
3,7,10
3,7,11
3,7,12
3,7,13
3,7,15
3,7,17
3,8,10
3,8,12
3,9,10
3,9,12
3,10,12
3,10,13
3,10,15
3,10,17
3,11,13
3,11,15
3,11,17
3,12,13
3,12,15
3,12,17
3,13,19
3,15,19
3,17,19
4,5,6
4,5,7
4,5,8
4,5,10
4,5,11
4,5,12
4,5,16
4,5,18
4,6,7
4,6,8
4,6,10
4,6,11
4,6,12
4,6,14
4,6,18
4,7,8
4,7,10
4,7,11
4,7,12
4,7,13
4,7,14
4,7,16
4,8,10
4,9,10
4,10,11
4,10,13
4,10,14
4,10,16
4,11,13
4,12,13
4,13,18
5,6,10
5,6,11
5,6,12
5,6,18
5,6,19
5,7,10
5,7,11
5,7,12
5,7,16
5,7,17
5,8,10
5,8,11
5,8,12
5,8,17
5,8,19
5,9,10
5,9,11
5,9,12
5,9,16
5,9,18
5,10,11
5,10,12
5,10,16
5,10,17
5,11,12
5,11,16
5,11,17
5,11,19
5,12,16
5,12,17
5,12,18
5,16,18
5,16,19
5,17,18
5,17,19
6,7,10
6,7,11
6,7,12
6,8,10
6,8,11
6,8,12
6,8,19
6,9,10
6,9,11
6,9,12
6,9,18
6,10,11
6,10,12
6,10,14
6,10,15
6,11,12
6,11,14
6,11,15
6,11,19
6,12,14
6,12,15
6,12,18
6,14,19
6,15,18
7,8,10
7,8,12
7,9,10
7,9,11
7,10,13
7,10,14
7,10,15
7,10,16
7,10,17
7,11,12
7,11,13
7,11,14
7,11,15
7,11,16
7,11,17
7,12,13
7,12,14
7,12,15
7,12,16
7,12,17
7,14,17
8,9,10
8,10,12
8,10,15
8,10,17
10,11,13
10,11,14
10,11,15
10,11,16
10,11,17
10,12,13
10,12,14
10,12,15
10,12,16
10,12,17
10,14,17
10,15,16
11,12,13
11,13,19
11,14,17
12,14,17
14,17,18
14,17,19
