0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,1,12
0,1,14
0,2,3
0,2,4
0,2,5
0,2,6
0,2,7
0,2,8
0,2,9
0,2,12
0,2,13
0,3,4
0,3,5
0,3,6
0,3,7
0,3,8
0,3,9
0,3,12
0,4,5
0,4,6
0,4,7
0,4,8
0,4,9
0,4,12
0,4,13
0,4,14
0,5,6
0,5,7
0,5,8
0,5,9
0,5,12
0,5,13
0,5,14
0,6,7
0,6,8
0,6,9
0,6,12
0,6,13
0,6,14
0,7,8
0,7,9
0,7,12
0,7,14
0,8,9
0,8,12
0,8,13
0,9,12
0,13,14
1,2,3
1,2,4
1,2,5
1,2,7
1,2,9
1,2,12
1,3,4
1,3,5
1,3,6
1,3,7
1,3,8
1,3,11
1,3,12
1,4,5
1,4,6
1,4,7
1,4,8
1,4,9
1,4,11
1,4,12
1,4,14
1,5,7
1,5,8
1,5,9
1,5,11
1,5,14
1,6,7
1,6,8
1,6,9
1,6,12
1,6,14
1,7,11
1,7,12
1,7,14
1,8,12
1,9,11
1,9,12
1,11,12
2,3,4
2,3,5
2,3,7
2,3,10
2,3,12
2,4,5
2,4,6
2,4,7
2,4,8
2,4,9
2,4,10
2,4,12
2,4,13
2,5,7
2,5,8
2,5,9
2,5,10
2,5,12
2,6,7
2,7,9
2,7,10
2,7,12
2,8,12
2,9,10
2,9,12
2,10,12
3,4,5
3,4,6
3,4,7
3,4,8
3,4,9
3,4,10
3,4,11
3,4,12
3,5,6
3,5,7
3,5,8
3,5,9
3,5,10
3,5,11
3,6,7
3,6,10
3,6,11
3,7,8
3,7,10
3,7,11
3,7,12
3,8,10
3,8,12
3,9,10
3,9,12
3,10,12
3,11,12
4,5,6
4,5,7
4,5,8
4,5,9
4,5,10
4,5,11
4,5,12
4,5,14
4,6,7
4,6,8
4,6,9
4,6,10
4,6,11
4,6,12
4,7,8
4,7,9
4,7,10
4,7,11
4,7,12
4,7,14
4,8,9
4,8,10
4,8,11
4,8,12
4,8,13
4,9,10
4,9,11
4,9,12
4,10,11
4,10,12
4,10,13
4,10,14
4,11,12
4,11,13
4,11,14
4,13,14
5,6,7
5,6,9
5,7,9
5,7,10
5,7,11
5,7,12
5,7,14
5,8,9
5,8,10
5,8,11
5,9,10
5,9,11
5,10,12
5,10,13
5,10,14
5,11,12
5,11,13
5,11,14
6,7,9
6,7,10
6,7,11
6,7,12
6,7,14
6,8,10
6,9,10
6,10,12
6,10,13
7,8,12
7,9,10
7,9,11
7,10,12
7,10,14
7,11,12
7,11,14
8,10,12
8,11,12
9,10,12
9,11,12
10,11,12
