0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,1,10
0,1,17
0,2,3
0,2,4
0,2,5
0,2,6
0,2,7
0,2,8
0,2,9
0,2,10
0,2,15
0,2,16
0,3,4
0,3,5
0,3,6
0,3,7
0,3,8
0,3,9
0,3,10
0,3,16
0,3,17
0,4,5
0,4,6
0,4,7
0,4,8
0,4,9
0,4,10
0,4,15
0,5,6
0,5,7
0,5,8
0,5,9
0,5,10
0,5,17
0,6,7
0,6,8
0,6,9
0,6,10
0,6,16
0,6,17
0,7,8
0,7,9
0,7,10
0,7,15
0,7,17
0,8,9
0,8,10
0,8,15
0,8,16
0,9,10
0,9,15
0,9,16
0,9,17
0,10,15
0,10,16
0,15,16
0,15,17
0,16,17
1,2,3
1,2,4
1,2,5
1,2,6
1,2,7
1,2,8
1,2,9
1,2,10
1,2,13
1,2,14
1,3,4
1,3,5
1,3,7
1,3,8
1,3,9
1,3,10
1,3,12
1,3,14
1,3,17
1,4,5
1,4,6
1,4,8
1,4,9
1,4,10
1,4,12
1,4,13
1,5,8
1,5,9
1,5,10
1,5,12
1,5,13
1,5,14
1,5,17
1,6,7
1,6,8
1,6,9
1,6,10
1,6,12
1,6,13
1,6,14
1,6,17
1,7,8
1,7,9
1,7,10
1,7,12
1,7,13
1,7,14
1,7,17
1,8,9
1,8,10
1,8,12
1,8,13
1,8,14
1,9,10
1,9,12
1,9,13
1,9,14
1,9,17
1,10,12
1,10,13
1,10,14
1,12,13
1,13,17
2,3,4
2,3,5
2,3,6
2,3,7
2,3,8
2,3,10
2,3,11
2,3,14
2,3,16
2,4,5
2,4,6
2,4,7
2,4,8
2,4,9
2,4,11
2,4,13
2,4,15
2,5,6
2,5,7
2,5,8
2,5,9
2,5,10
2,5,11
2,5,13
2,5,14
2,6,7
2,6,8
2,6,9
2,6,10
2,6,11
2,6,13
2,6,14
2,6,16
2,7,8
2,7,9
2,7,10
2,7,11
2,7,13
2,7,14
2,7,15
2,8,11
2,8,13
2,8,14
2,8,15
2,8,16
2,9,10
2,9,11
2,9,13
2,9,14
2,9,15
2,9,16
2,10,11
2,10,13
2,10,14
2,10,15
2,10,16
2,13,14
2,13,16
2,14,15
2,15,16
3,4,5
3,4,8
3,4,11
3,4,12
3,5,7
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,14
3,5,17
3,6,8
3,6,9
3,6,10
3,6,12
3,6,14
3,6,17
3,7,8
3,7,9
3,7,10
3,7,12
3,7,14
3,7,17
3,8,10
3,8,11
3,8,12
3,8,14
3,8,16
3,9,11
3,9,14
3,9,16
3,10,11
3,10,14
3,10,16
3,11,12
3,11,17
3,12,16
3,16,17
4,5,6
4,5,8
4,5,9
4,5,10
4,5,11
4,5,12
4,5,13
4,6,8
4,6,9
4,6,12
4,7,8
4,7,12
4,8,9
4,8,11
4,8,12
4,8,13
4,8,15
4,9,11
4,10,11
4,12,13
4,12,15
5,6,8
5,6,9
5,6,10
5,6,12
5,6,14
5,6,17
5,7,8
5,7,9
5,7,10
5,7,12
5,7,13
5,7,17
5,8,9
5,8,10
5,8,11
5,8,12
5,8,13
5,8,14
5,9,10
5,9,11
5,9,12
5,9,13
5,9,14
5,9,17
5,10,11
5,10,12
5,10,13
5,10,14
5,11,12
5,11,17
5,12,13
5,13,17
6,7,8
6,7,9
6,7,12
6,7,17
6,8,9
6,8,10
6,8,11
6,8,12
6,8,13
6,8,14
6,8,16
6,9,11
6,9,12
6,9,13
6,9,14
6,9,16
6,9,17
6,10,11
6,10,12
6,10,13
6,10,14
6,11,12
6,11,17
6,12,13
6,12,16
6,13,17
6,16,17
7,8,9
7,8,10
7,8,11
7,8,12
7,8,13
7,8,14
7,8,15
7,9,11
7,9,12
7,9,13
7,9,14
7,10,11
7,10,12
7,10,13
7,11,12
7,11,17
7,12,13
7,12,15
7,15,17
8,9,11
8,9,14
8,9,15
8,9,16
8,10,11
8,10,13
8,10,15
8,10,16
8,11,12
8,12,15
8,12,16
8,13,14
8,13,16
8,14,15
8,15,16
9,10,11
9,11,12
9,11,17
9,12,15
9,12,16
10,11,12
10,12,15
10,12,16
12,13,16
12,15,16
15,16,17
